province_name,province_name_diacritics,regex
An Giang,An Giang,An Giang
Bac Giang,Bắc Giang,Bac Giang
Bac Kan,Bắc Kạn,Bac [CK]an
Bac Lieu,Bạc Liêu,Bac Lieu
Bac Ninh,Bắc Ninh,Bac Ninh
Ben Tre,Bến Tre,Ben Tre
Binh Dinh,Bình Định,Binh Dinh
Binh Duong,Bình Dương,Binh Duong
Binh Phuoc,Bình Phước,Binh Phuoc
Binh Thuan,Bình Thuận,Binh Thuan
BRVT,Bà Rịa Vũng Tàu,VT|Vung Tau
Ca Mau,Cà Mau,Ca Mau
Can Tho,Cần Thơ,Can Tho
Cao Bang,Cao Bằng,Cao Bang
Dak Lak,Đắk Lắk,Da[ck] La[ck]
Dak Nong,Đắk Nông,Da[ck] Nong
Da Nang,Đà Nẵng,Da Nang
Dien Bien,Điện Biên,Dien Bien
Dong Nai,Đồng Nai,Dong Nai
Dong Thap,Đồng Tháp,Dong Thap
Gia Lai,Gia Lai,Gia Lai
Ha Giang,Hà Giang,Ha Giang
Hai Duong,Hải Dương,Hai Duong
Hai Phong,Hải Phòng,Hai Phong
Ha Nam,Hà Nam,Ha Nam
Ha Tay,Hà Tây,Ha Tay
Ha Noi,Hà Nội,Ha Noi
Ha Tinh,Hà Tĩnh,Ha Tinh
Hau Giang,Hậu Giang,Hau Giang
Hoa Binh,Hòa Bình,Hoa Binh
Hung Yen,Hưng Yên,Hung Yen
Khanh Hoa,Khánh Hòa,Khanh Hoa
Kien Giang,Kiên Giang,Kien Giang
Kon Tum,Kon Tum,[CK]on Tum
Lai Chau,Lai Châu,Lai Chau
Lam Dong,Lâm Đồng,Lam Dong
Lang Son,Lạng Sơn,Lang Son
Lao Cai,Lào Cai,Lao Cai
Long An,Long An,Long An
Nam Dinh,Nam Định,Nam Dinh
Nghe An,Nghệ An,Nghe An
Ninh Binh,Ninh Bình,Ninh Binh
Ninh Thuan,Ninh Thuận,Ninh Thuan
Phu Tho,Phú Thọ,Phu Tho
Phu Yen,Phú Yên,Phu Yen
Quang Binh,Quảng Bình,Quang Binh
Quang Nam,Quảng Nam,Quang Nam
Quang Ngai,Quảng Ngãi,Quang Ngai
Quang Ninh,Quảng Ninh,Quang Ninh
Quang Tri,Quảng Trị,Quang Tri
Soc Trang,Sóc Trăng,Soc Trang
Son La,Sơn La,Son La
Tay Ninh,Tây Ninh,Tay Ninh
Thai Binh,Thái Bình,Thai Binh
Thai Nguyen,Thái Nguyên,Thai Nguyen
Thanh Hoa,Thanh Hóa,Thanh Hoa
Thua Thien Hue,Thừa Thiên Huế,TTH|TT-H|Hue
Tien Giang,Tiền Giang,Tien Giang
TP HCM,TP Hồ Chí Minh,HCM|Ho Chi Minh
Tra Vinh,Trà Vinh,Tra Vinh
Tuyen Quang,Tuyên Quang,Tuyen Quang
Vinh Long,Vĩnh Long,Vinh Long
Vinh Phuc,Vĩnh Phúc,Vinh Phuc
Yen Bai,Yên Bái,Yen Bai
